Key,English,Japanese
MMI_82,Arena Ranking,アリーナランキング
MMI_83,Arena Reward,アリーナ報酬
MMI_91,Lord Ranking,ロードランキング
MMI_134,Upgrading,アップグレード
MMI_136,Piercing,ピアッシング
MMI_167,Element Upgrading,属性のアップグレード
MMI_142,Store Pet,ペットを回収
MMI_272,Exchange RPS Coupon,ジャンケンクーポンに交換
MMI_309,Card Upgrade,カードアップグレード
MMI_310,Weapon Socket Card Reshuffle,ウェポンソケットカードのリシャッフル
MMI_311,Couple proposal,カップルプロポーズ
MMI_1000,Drop Filter,収集フィルター
MMI_1001,Report,通報
MMI_1002,Inspect,調べる
MMI_1003,Unbinding,帰属解除
MMI_1004,Exchange,交換
MMI_1005,Combat Power Ranking,コンバット戦闘力ランキング
MMI_1006,Giant Hunt Ranking ,ジャイアント討伐ランキング
MMI_1007,Accessory Upgrade,アクセサリー強化
MMI_1008,Mute,ミュート
MMI_1009,Unmute,ミュート解除
MMI_1010,Freeze,フリーズ中
MMI_1011,Unfreeze,フリーズ解除
MMI_1012,Shadow Mute,シャドウミュート
MMI_1013,Pet Candy Crafting,ペットキャンディークラフト
MMI_1014,Exchange Dice,ダイスの交換
MMI_1015,Pet Sacrificing,ペットサクリファイス
MMI_1016,Red Chip Shop,レッドチップショップ
MMI_1017,Cosmetic Wardrobe,コスメティックワードローブ
MMI_1018,Lv80 GS Apply,Lv80 GS適用
MMI_1019,Lv80 GS Status,Lv80 GSステータス
MMI_1020,Lv80 GS Cancel,Lv80 GSキャンセル
MMI_1021,Lv80 GS Enter,Lv80 GSジョイン
MMI_1022,Lv80 GS Lineup Setup,Lv80 GSラインナップ
MMI_1023,Lv80 GS Ranking,Lv80GSランキング
MMI_1024,Lv80 GS Information,Lv80GS情報
MMI_1025,Lv60 GS Apply,Lv60GS適用
MMI_1026,Lv60 GS Status,Lv60 GSステータス
MMI_1027,Lv60 GS Cancel,Lv60 GSキャンセル
MMI_1028,Lv60 GS Enter,Lv60 GS ジョイン
MMI_1029,Lv60 GS Lineup Setup,Lv60 GSラインナップ
MMI_1030,Lv60 GS Ranking,Lv60GSランキング
MMI_1031,Lv60 GS Information,Lv60GS情報
MMI_1032,Blue Chip Shop,ブルーチップショップ
MMI_1033,Valentine's Letter Exchange,バレンタインレター交換
MMI_1034,Dungeon,ダンジョン
MMI_1035,PK Chip Shop,PKチップショップ
MMI_1036,Exchange,交換
MMI_1037,Green Chip Shop,グリーンチップショップ
MMI_1038,FWC Gear Exchange,FWCギア交換
MMI_1039,FWC Jewel Exchange,FWCジュエルエクスチェンジ
MMI_1040,Use Capsule Coins,カプセルコインを使う
MMI_1041,Music Festival Exchange,音楽祭交流
MMI_1042,Fitting Room,試着室
MMI_1043,FWC PVP Registrations Board,FWC PVP登録委員会
MMI_1047,Join FWC PVP Arena,FWC PVP Arenaに参加する
MMI_1046,FWC PVP Ranking,FWC PVPランキング
MMI_1048,Spectate FWC PVP Contest,観戦FWC PVPコンテスト
MMI_1049,Rock Paper Scissors,じゃんけん
MMI_1050,W-Token Shop,Wトークンショップ
MMI_1051,Costume Box Upgrade,コスチュームボックスのアップグレード
MMI_1054,Exchange Rings,指輪の交換
MMI_1055,Dismantle Item,アイテムの解体
MMI_1056,Purchase Guild Ship,このギルドハウスを購入したい
MMI_1057,Enter Guild Ship,ギルドハウスに入る
MMI_1058,Enter Your House,あなたの家に入る
MMI_1059,Select House Template,ハウステンプレートを選択
MMI_1060,Visit Friend's House,友達の家を訪ねる
MMI_1061,Edit,編集
MMI_1062,Remove,削除
MMI_1063,Exchange Earrings,イヤリングの交換
MMI_1064,Exchange Necklaces,ネックレスの交換
MMI_1065,Rainbow Race,レインボーレース
MMI_1066,Create Ultimate Weapon,アルティマウェポン作成
MMI_1069,Open Guest Book,ゲストブックを開く
MMI_1070,Orphanage Keeper Shop,孤児院の番人ショップ
MMI_1071,Kalgas Assault Registration,カルガス・アサルト登録
MMI_1072,Kalgas Assault Enter,カルガス・アサルト入場
MMI_1073,Kalgas Assault Rank,カルガス・アサルトランク
MMI_1074,Kalgas Assault Info,カルガスアサルト情報
MMI_1075,Kalgas Chip Shop,カルガスチップショップ
MMI_1076,Couple's Storage,カップルの保管庫
MMI_1077,Create Ultimate Jewel,アルティマジュエル作成
MMI_1078,Fuse Ultimate Jewel,アルティマジュエルの融合
MMI_1079,Teleport,テレポート
MMI_1080,Sea Shell Upgrading,貝殻のアップグレード
MMI_1081,Fuse Rainbow Jewel,レインボージュエルの融合
MMI_1082,Dismantle Rainbow Jewel,レインボージュエルの解体
MMI_1083,Pet Training,ペットトレーニング
MMI_1084,Teleport,テレポート
MMI_1085,Individual Race (Item),個人レース(アイテム)
MMI_1086,Individual Race (Speed),個人レース(スピード)
MMI_1087,Duo Team Race (Item),デュオチームレース(アイテム)
MMI_1088,Duo Team Race (Speed),デュオチームレース(スピード)
MMI_1089,Sit,座る
MMI_1090,Sleep,眠る
MMI_1091,Yellow Chip Shop,イエローチップショップ
MMI_1092,Madrigal Tournament Registration,マドリガルトーナメント登録
MMI_1093,Enter Madrigal Tournament,マドリガルトーナメントに参加する
MMI_1094,Madrigal Tournament Ranking,マドリガルトーナメントランキング
MMI_1095,Madrigal Tournament Reward,マドリガルトーナメント報酬
MMI_1096,Madrigal Tournament Bidding,マドリガルトーナメント入札
MMI_1097,Remove Ultimate Jewel,アルティマジュエルの削除
MMI_1098,Customize,カスタマイズ
MMI_1099,Enter Couple House,カップルハウスに入る
MMI_1100,Select Couple House Template,カップルハウステンプレートを選択
MMI_1101,Wandering Shop,行商
MMI_1102,Master Chip Shop - Alchemy,マスターチップショップ - 錬金術
MMI_1103,Product Upgrade,プロダクトアップグレード
MMI_1104,Life Mastery Ranking,ライフマスタリーランキング
MMI_1105,Life Mastery Ranking Reward,ライフマスタリーランキング報酬
MMI_1106,Alchemy,錬金術
MMI_1107,Cooking,料理
MMI_1108,Carpentry,木工
MMI_1109,Smithing,鍛冶
MMI_1110,Enter Race,レースに参加する
MMI_1111,Master Chip Shop - Cooking,マスターチップショップ - 料理
MMI_1112,Master Chip Shop - Carpentry,マスターチップショップ - 木工
MMI_1113,Master Chip Shop - Smithing,マスターチップショップ - 鍛冶
MMI_1115,Join Boss Raid,ボスレイドに参加する
MMI_1120,3rd Anniversary Egg Upgrade Event,3周年記念エッグアップグレードイベント
MMI_1121,Champion Coin Exchange,チャンピオンコイン交換
MMI_1116,Synthesize Ultimate Jewel,アルティマジュエルの合成
MMI_1117,Convert Ultimate Jewel,アルティマジュエルの変換
MMI_2025,PTS Exchange (Equipment),PTS交換(装備)
MMI_2026,Give Feedback,フィードバックを送る
MMI_2027,PTS Exchange (Materials),PTS交換(素材)
MMI_2028,PTS Exchange (Essentials),PTS交換(必需品)
MMI_2029,PTS Exchange (Jewelry),PTS交換(ジュエリー)
MMI_2030,PTS Exchange (Other Equipment),PTS交換(その他の装備)
MMI_2031,Reset Cooldowns,クールダウンをリセット
MMI_2032,PTS Exchange (New Equipment),PTS交換(新装備)
MMI_2033,Item Exchange,アイテム交換
MMI_1122,Lv165 GS Apply,Lv165 GS適用
MMI_1123,Lv165 GS Status,Lv165 GSステータス
MMI_1124,Lv165 GS Cancel,Lv165 GSキャンセル
MMI_1125,Lv165 GS Join,Lv165 GSジョイン
MMI_1126,Lv165 GS Line Up,Lv165 GSラインナップ
MMI_1127,Lv165 GS Ranking,Lv165GSランキング
MMI_1128,Lv165 GS Information,Lv165GS情報
MMI_1129,Yellow Chip Shop 2,イエローチップショップ2
MMI_1130,Red Chip Shop 2,レッドチップショップ2
MMI_1131,Kalgas Chip Shop 2,カルガスチップショップ2
MMI_1132,Mysterious Castle Enter,神秘の城に入る
MMI_1133,Mysterious Castle Reward,神秘の城報酬
MMI_1134,Kebaras 2 Costumes,ケバラス2コスチューム
