Key,English,Japanese
QUEST_DESTINATION_0077,Meet Kazen,カゼンに会おう。
QUEST_DESTINATION_0078,Move to where Kazen is and kill Green Trillipy. Then obtain 30 Ribenuums,カゼンがいる次の部屋でグリーントリルピを退治してリベニウム30個を手に入れよう。
QUEST_DESTINATION_0079,You can find Nein in Dead Waldernis of Darkon 3 and do 'Finding Tridum'. Then collect 10 Ribenuums,ダーコン第3地区デッドウィルダニス砂漠にいるナインに会って「トリディウム収集」クエストを完了し、高純度リベニウムを10個手に入れよう。
QUEST_DESTINATION_0080,"Speak with Cell in Darkon 1 and do 'Trace of ID card'. After getting a key, you can obtain 20 Tridum.",ダーコン第1地区のセルに会って「さらなる道を求めて」クエストを完了し、部屋の鍵を手に入れてトリディウム20個を集めよう。
QUEST_DESTINATION_0081,Bring Ribenuum to Nein,リベニウムをナインに届けよう。
QUEST_DESTINATION_0082,You can see Mutant Fefern and Mutant Nyangnyang Queen nearby.,フラリスダンジョン内に棲息しているネオフェフェルンとアングリー・キャットニャングの付近で見つかる。
QUEST_DESTINATION_0083,Kill Vice Veduque living in the last room of Mars dungeon.,フラリスダンジョンの最深部にいる＜ヴァイスヴェデューク＞を倒せ
QUEST_DESTINATION_0084,It exists in Iblis and revelation can be found in the last room on left.,イブリス神殿を入って左壁沿いの部屋に、謎はあるだろう
QUEST_DESTINATION_0085,Kill 8 Iblis Crashers in the Iblis Temple.,イブリス神殿に潜む＜イブル・ドロイゼン＞を8体倒そう。
QUEST_DESTINATION_0086,Kill an Iblis Guardian in the Iblis Temple.,イブリス神殿に潜む＜イブル・プレジャー＞を1体倒そう。
QUEST_DESTINATION_0087,Obtain the Pattern by Killing an Iblis Guardian.,＜イブリスの紋章＞を獲得しよう。
QUEST_DESTINATION_0091,Please purchase a Long Sword from [Shield] Luda.,ロング・ソードをシールドショップのルダから購入しよう。
QUEST_DESTINATION_0093,"After speaking with Drian, obtain a pouch.",ドリアンに会いに行き、ドリアンの荷物を手に入れよう。
QUEST_DESTINATION_0094,A group of Organigor exists nearby.,オルガニガーが集まるところ周辺に存在している。
QUEST_DESTINATION_0095,A group of Gangard exists nearby.,ガンガードが集まるところ周辺に存在している。
QUEST_DESTINATION_0096,A group of Hadeseor exists nearby.,ハデュサが集まるところ周辺に存在している。
QUEST_DESTINATION_1000,Radion gave you this Fragment of Memories.,＜賢者ラディオン＞が渡したのは、＜浄化された記憶のかけら＞だろう―。
QUEST_DESTINATION_1001,Reodos gave you this Elemental Hero's Pendant.,＜レオドス＞からもらった＜英雄のペンダント＞
QUEST_DESTINATION_1002,Zoro gave you this letter.,＜ゾロ＞からこの手紙を受け取る
QUEST_DESTINATION_1003,Bring this Letter to Zoro.,この手紙を＜ゾロ＞に持っていく
QUEST_DESTINATION_1004,You got this Promise Ring from the Garbagespiders.,＜ガーベイジパイダー＞から約束の指輪を手に入れる
QUEST_DESTINATION_1005,Bring this Letter to Dior.,ディオールに手紙を渡す
QUEST_DESTINATION_1006,Bring this Hero's Pendant to Reonan.,＜レオナン＞へ＜英雄のペンダント＞を持っていく
QUEST_DESTINATION_1007,You got this Hero's Pendant from the Bearnerkys.,＜ハニーシーカー＞から＜英雄のペンダント＞を手に入れる
QUEST_DESTINATION_1008,Bring this Agony Ore to Ainher.,＜苦悩の鉱石＞を＜アインヘル＞へ持っていく
QUEST_DESTINATION_1009,Symbols of Shade drop from Violet masquerpets with a level close to yours.,シェードのシンボルは、あなたに近いレベルでバイオレットマスカレットからドロップします。
QUEST_DESTINATION_1010,Collect Erons from Erons Catchers.,エランス・キャッチャーからエランスを集めよ
QUEST_DESTINATION_1011,Collect Krasec from Krasec Catchers.,ケラセック・キャッチャーからケラセックを集めよ
QUEST_DESTINATION_1012,Collect Mineral from Mineral Catchers.,ミネラル・キャッチャーからミネラルを集めよ
QUEST_DESTINATION_1013,Collect Guru from Guru Catchers.,グルー・キャッチャーからグルーを集めよ
QUEST_DESTINATION_1014,Give the Smelted Steels to Chenbing.,製錬した鋼をシェンビンに渡します。
QUEST_DESTINATION_1015,Give the Metallurgical Bull Ring to Colack.,冶金学のブルリングをコラックに渡します。
QUEST_DESTINATION_1016,Give the Supercharged Lightning Rod to Gothante.,過給された避雷針をゴダンテに渡す。
QUEST_DESTINATION_1017,Collect $QUEST_END_ITEM_NAME$ from final dungeon bosses.,最後のダンジョンボスから$QUEST_END_ITEM_NAME$を収集します。
QUEST_DESTINATION_1018,Give the Elixir of Cleansing to Hael.,浄化のエリクサーをハエルに渡します。
QUEST_DESTINATION_1019,Collect Ultima from giants and treasure chests.,巨人や宝箱からウルティマを集める。
QUEST_DESTINATION_1020,Kill %s Prismatic Cobras and Water Totem Pole,%s プリズム コブラと水のトーテムポールを倒す
QUEST_DESTINATION_1021,Kill %s Twinstrike Cobras and Wind Totem Pole,%s ツインストライク コブラと風のトーテムポールを倒す
QUEST_DESTINATION_1022,Kill %s Tanuki Enforcers and Earth Totem Pole,%s タヌキ エンフォーサーと地の トーテム ポールを倒す
QUEST_DESTINATION_1023,Kill %s Wildwood Stalkers and Fire Totem Pole,%s ワイルドウッド ストーカーと炎のトーテムポールを倒す
QUEST_DESTINATION_1024,"Kill Kriton, the Shade's right hand living deep inside Herneos.",ヘルネオスの奥深くに潜む、シェードの右腕クリトンを倒せ。
QUEST_DESTINATION_1025,Kill 150 Dreadfins in the Herneos Dungeon.,ヘルネオスダンジョンでドレッドフィンを150体倒せ。
QUEST_DESTINATION_1026,Kill 150 Dreadscales in the Herneos Dungeon.,ヘルネオスダンジョンでドレッドスケイルを150体倒せ。
QUEST_DESTINATION_1027,Kill 150 Luminfins in the Herneos Dungeon.,ヘルネオスダンジョンでルミンフィンを150体倒せ。
QUEST_DESTINATION_1028,Obtained by talking to Dr. Estly.,Dr.エストリーと話すことで入手できる。
QUEST_DESTINATION_1029,Obtained by killing Dreadfins in the Herneos Dungeon.,ヘルネオスダンジョンでドレッドフィンを倒すことで入手できる。
QUEST_DESTINATION_1030,Obtained by killing Dreadscales in the Herneos Dungeon.,ヘルネオスダンジョンでドレッドスケイルを倒すことで入手できる。
QUEST_DESTINATION_1031,Obtained by killing Luminfins in the Herneos Dungeon.,ヘルネオスダンジョンでルミンフィンを倒すことで入手できる。
QUEST_DESTINATION_1032,"Kill [Depths Guardian] Bunyip, the Shade's General living deep inside Herneos.",ヘルネオスの奥深くに潜む、シェードの将軍[深淵の守護者]バニップを倒せ。
QUEST_DESTINATION_1033,"Kill [Depths Queen] Nereid, the Shade's General living deep inside Herneos.",ヘルネオスの奥深くに潜む、シェードの将軍[深淵の女王]ネレイドを倒せ。
QUEST_DESTINATION_1034,The lost treasure of Herneos should be easy to find inside Herneos.,ヘルネオスの中を探せば、失われた財宝は簡単に見つかるはずだ。
QUEST_DESTINATION_1035,You should be able to find one by exploring the Herneos dungeon.,ヘルネオスダンジョンを探索すれば見つかるはずだ。
QUEST_DESTINATION_1036,Bring it to Gergantes.,ゲルガンテスに伝達しよう。
QUEST_DESTINATION_1037,Kill %s more [Twisted Soul] Orcus to spawn an hidden chest,呪われた石像をあと%s体倒すと、隠された宝箱が出現する。
QUEST_DESTINATION_1038,Kill %s more [Tormented Soul] Nergal to spawn the Mysterious Adventurer,死の精霊トゥーラをあと%s体倒すと、謎の冒険者が出現する。
QUEST_DESTINATION_1039,Kill %s more [Demonic Soul] Hel to spawn an hidden chests,死の精霊ウムトゥーラをあと%s体倒すと、隠された宝箱が出現する。
QUEST_DESTINATION_1040,Kill %s more [Perverted Soul] Morrigan to spawn the Mysterious Adventurer,死の精霊オムニスをあと%s体倒すと、謎の冒険者が出現する。
QUEST_DESTINATION_1041,Kill %s more [Anguished Soul] Mara to spawn an hidden chest,死の精霊バグニスをあと%s体倒すと、隠された宝箱が出現する。
QUEST_DESTINATION_1042,Kill %s more [Violent Soul] Ghed to spawn an hidden chest,ベヒモスガーディアンをあと%s体倒すと、隠された宝箱が出現する。
QUEST_DESTINATION_1043,Defeat %s Dungeon Final Boss,%sダンジョンの最終ボスを倒す。
QUEST_DESTINATION_1044,You received Master's letter of introduction from the previous quest.,前のクエストで＜マスターの紹介状＞を手に入れる
QUEST_DESTINATION_1045,You received Fragment of a Fallen Ship from the Mayor of Flarine.,＜フラリス市長＞から＜難破船の破片＞を手に入れる
QUEST_DESTINATION_1046,You received Translated Lycan Operation Plan from [Captain] Baron.,＜[隊長]バロン＞から＜翻訳されたライカン作戦計画書＞を手に入れる
QUEST_DESTINATION_1047,You received All about Muran! from [Elder] Melak.,＜[長老]メラク＞から＜「ムランのすべて！」＞を手に入れる
QUEST_DESTINATION_1048,You collected Lycan Orders during the previous quest.,前のクエストで＜「ライカンの命令書」＞を手に入れる
QUEST_DESTINATION_1049,You collected Torn Scroll during the previous quest.,前のクエストで＜「破れた巻物」＞を手に入れる
